TRIlong_len,TRIlat_len,TRImed_len,BIClong_len,BICshort_len,BRA_len,TRIlong_dlen,TRIlat_dlen,TRImed_dlen,BIClong_dlen,BICshort_dlen,BRA_dlen
-0.00100689743013,0.000180853862105,0.000178642191532,0.000384019292871,0.000123019268441,-1.11179026075e-05,0.0068865642585,-0.00299249781426,-0.00286017619125,0.00222857429922,-0.000250618174988,0.000210018821893
-0.000937955839845,0.000149994053735,0.000145245813543,0.00032080999032,0.000120987620958,-9.05339666586e-06,0.00689415902825,-0.00308598083704,-0.00333963779885,-0.00632093025507,-0.000203164748336,0.000206450594169
-0.000868876913866,0.000121559940166,0.000122103965639,0.000422301093362,0.000118844324823,-7.05602294207e-06,0.00690789259791,-0.00284341135689,-0.00231418479043,0.0101491103042,-0.000214329613443,0.000199737372379
-0.000800349871372,9.08091028486e-05,8.84336101812e-05,0.000313037992616,0.000117539886215,-5.08546684919e-06,0.00685270424945,-0.00307508373176,-0.00336703554576,-0.0109263100746,-0.000130443860813,0.000197055609288
-0.000732281491619,6.13652265788e-05,5.90293091846e-05,0.000295012362976,0.000116336632746,-3.17211617128e-06,0.00680683797526,-0.00294438762698,-0.00294043009966,-0.00180256296399,-0.000120325346956,0.000191335067791
-0.000664942917324,3.23406295726e-05,3.03854951515e-05,0.000244854141015,0.000115498146877,-1.31841693911e-06,0.00673385742945,-0.00290245970062,-0.00286438140331,-0.0050158221961,-8.38485868931e-05,0.000185369923217
-0.000598353886891,4.73020042711e-06,2.73717839694e-06,0.000268635518536,0.00011463850737,4.53604201395e-07,0.0066589030433,-0.00276104291455,-0.00276483167546,0.00237813775208,-8.59639506495e-05,0.00017720211405
-0.000532973043886,-2.35120951783e-05,-2.55591317746e-05,0.000179257340735,0.000114307255049,2.16295915606e-06,0.00653808430049,-0.00282422956054,-0.00282963101716,-0.00893781778009,-3.31252320906e-05,0.000170935495467
-0.000468521632589,-4.92414918065e-05,-5.07400709011e-05,0.000205615350764,0.000113693132966,3.76198781112e-06,0.00644514112978,-0.00257293966282,-0.00251809391264,0.00263580100286,-6.14122083797e-05,0.000159902865506
-0.000405457761581,-7.45951066908e-05,-7.67120523778e-05,0.00018532156066,0.000113198020557,5.27314174713e-06,0.00630638710078,-0.00253536148842,-0.00259719814767,-0.00202937901041,-4.95112408766e-05,0.000151115393601
-0.000343981153001,-9.82531251128e-05,-9.79653550786e-05,0.000160196554009,0.000112776598837,6.69721755456e-06,0.006147660858,-0.0023658018422,-0.00212533027008,-0.00251250066505,-4.21421719604e-05,0.000142407580743
-0.000284243001826,-0.000121186786564,-0.000126821760667,0.000156545524993,0.000112332791166,8.02935610243e-06,0.00597381511745,-0.00229336614509,-0.00288564055882,-0.000365102901617,-4.43807671197e-05,0.000133213854787
-0.000226526454191,-0.000142885147229,-0.000142682792144,9.32539467065e-05,0.000112074866158,9.27908611931e-06,0.00577165476356,-0.00216983606651,-0.00158610314772,-0.00632915782865,-2.57925008434e-05,0.000124973001688
-0.000170657994013,-0.000162107827436,-0.000165763651428,0.000123823931256,0.00011136148571,1.04127903902e-05,0.00558684601775,-0.00192226802072,-0.00230808592839,0.00305699845495,-7.13380447936e-05,0.000113370427092
-0.000117148755866,-0.000181414561487,-0.000181092540647,4.74484827273e-05,0.000110916315739,1.14621420668e-05,0.00535092381472,-0.00193067340511,-0.0015328889219,-0.00763754485287,-4.45169970692e-05,0.000104935167652
-6.56648587659e-05,-0.00019683221785,-0.000199479664328,0.000117306979869,0.000109696962534,1.23817716432e-05,0.00514838971002,-0.00154176563635,-0.00183871236813,0.00698584971417,-0.000121935320538,9.19629576462e-05
-1.6834479337e-05,-0.000212568376484,-0.000213130697779,4.25554260413e-05,0.000108739396848,1.32167216551e-05,0.00488303794289,-0.00157361586336,-0.00136510334511,-0.00747515538277,-9.57565685605e-05,8.3495001188e-05
2.95288877975e-05,-0.000225537182769,-0.000225903341595,4.79030327346e-05,0.000107213139589,1.39374535955e-05,0.00463633671345,-0.00129688062844,-0.00127726438161,0.000534760669327,-0.000152625725852,7.20731940435e-05
7.30778848473e-05,-0.000237358145222,-0.000238112822035,-6.8885739332e-05,0.000105634470438,1.45649596315e-05,0.00435489970498,-0.00118209624537,-0.00122094804399,-0.0116788772067,-0.000157866915176,6.27506035966e-05
0.000114004849436,-0.000246139644646,-0.000246344187784,5.03064891244e-07,0.000103303333415,1.50691170943e-05,0.00409269645892,-0.000878149942346,-0.000823136574907,0.00693888042232,-0.000233113702236,5.04157462763e-05
0.000152050326988,-0.000253268254532,-0.000253356174045,-4.78977699339e-06,0.000100619029115,1.5465532025e-05,0.00380454775519,-0.000712860988665,-0.000701198626039,-0.000529284188464,-0.000268430429989,3.96414930756e-05
0.000186997427407,-0.000258837571205,-0.000259029442439,-6.48485244997e-05,9.77070249928e-05,1.57660598733e-05,0.00349471004186,-0.000556931667318,-0.000567326839429,-0.00600587475063,-0.000291200412261,3.0052784826e-05
0.000218969185371,-0.000261593758849,-0.000261291667312,-4.2971310166e-06,9.39699139104e-05,1.59483262806e-05,0.0031971757964,-0.000275618764352,-0.000226222487301,0.00605513934831,-0.000373711108234,1.82266407342e-05
0.000247561238484,-0.000263466791607,-0.000263522838478,-7.8655948589e-05,9.04073066364e-05,1.60483880144e-05,0.00285920531134,-0.00018730327576,-0.000223117116625,-0.00743588175724,-0.000356260727408,1.00061733829e-05
0.000273110134176,-0.00026275768951,-0.000262540187921,-5.45488513603e-05,8.58416814793e-05,1.60005053017e-05,0.00255488956911,7.0910209661e-05,9.82650557493e-05,0.00241070972286,-0.00045656251571,-4.78827126976e-06
0.000295284625068,-0.00026052296053,-0.000260212960722,-9.58054779558e-05,8.12044844345e-05,1.58937193427e-05,0.00221744908928,0.000223472897992,0.000232722719837,-0.00412566265955,-0.000463719704472,-1.06785959006e-05
0.000314167429389,-0.00025626166311,-0.000255816730121,-7.52465955762e-05,7.56900114143e-05,1.54792547157e-05,0.00188828043207,0.000426129742043,0.000439623060186,0.00205588823796,-0.000551447302025,-4.14464627035e-05
0.000329517297808,-0.000250300694915,-0.000249784348235,-0.000101071323325,7.0289934093e-05,1.53711611835e-05,0.0015349868419,0.000596096819433,0.000603238188575,-0.00258247277486,-0.000540007732128,-1.08093532167e-05
